Code	Name	Internal Type	Account Type	Parent Account Template
22	Fixed Assets	view	Expense	0
0000484020	CLEARING ACCOUNT FOR CAPITAL EXPENSES	other	Expense	22
23	Indirect Expenses 	view	Expense	0
0000490001	DEFERRED TAX (P&L)	other	Expense	23
0000450033	INTEREST ON DEALERS DEPOSIT	other	Expense	23
24	Current Liabilities	view	Liability	0
241	Duties & Taxes	view	Liability	24
0000219618	Cenvat Payables - (output)	other	Liability	241
0000219619	RG23A   ECess - output	other	Liability	241
0000219620	RG23A  SECess - output	other	Liability	241
0000219621	SERVICE TAX PAYABLE - LABOUR	other	Liability	241
0000219622	SERVICE TAX PAYABLE - CONTRACTOR	other	Liability	241
0000219623	SERVICE TAX PAYABLE - VEHICLES	other	Liability	241
0000219624	ED & CESS - PAYABLE ON CLOSING STOCK	other	Liability	241
25	Capital Account	view	Liability	0
251	Reserves & Surplus	view	Liability	25
0000220250	Retained Earnings A/c	other	Liability	251
26	Current Liabilities	view	Liability	0
261	Unsecured Loans	view	Liability	26
0000312003	DEFERRED TAX LIABILITY	other	Liability	261
27	Indirect Expenses 	view	Expense	0
0000402013	ED PAID ON STOCK & OTHERS	other	Expense	27
28	Direct Expenses 	view	Expense	0
0000404012	LP Non Code Item	other	Expense	28
29	Fixed Assets	view	Asset	0
0000404013	Project Based Item a/c	other	Asset	29
30	Indirect Expenses 	view	Expense	0
0000420012	REMUNERATION TO DIRECTORS	other	Expense	30
31	Current Liabilities	view	Liability	0
311	Sundry Creditors	view	Liability	31
0000215199	SUNDRY CREDITORS - EMPLOYEE VENDOR	other	Liability	311
0000215309	LEAVE TRAVEL ASSISTANCE PAYABLE	other	Liability	311
0000215310	MEDICAL REIMBURSEMENT PAYABLE	other	Liability	311
0000215311	REMUNERATION PAYABLE TO DIRECTORS	other	Liability	311
32	Current Assets	view	Asset	0
321	Loans & Advances (Asset)	view	Asset	32
0000119731	MAT CREDIT ENTITLEMENT	other	Asset	321
33	Current Liabilities	view	Liability	0
331	Duties & Taxes	view	Liability	33
0000119927	RG 23 C AED	other	Liability	331
34	Current Assets	view	Asset	0
341	Loans & Advances (Asset)	view	Asset	34
0000119928	INCOME TAX REFUNDABLE	other	Asset	341
0000119929	EMPLOYEES GRATUITY TRUST	other	Asset	341
35	Fixed Assets	view	Asset	0
0000120019	AUC	other	Asset	35
0000120201	AMMORTISATION OF  LEASE HOLD LAND-ASSET	other	Asset	35
36	Current Assets	view	Asset	0
361	Stock In Hands	view	Asset	36
0000119464	Packing Material	other	Asset	361
0000119473	WIP-Semi Finished	other	Asset	361
0000119500	Work In Process	other	Asset	361
362	Loans & Advances (Asset)	view	Asset	36
0000119733	MISC. ADV. RENTED HOUSE-Asset	other	Asset	362
37	Current Liabilities	view	Liability	0
371	Provisions	view	Liability	37
000037141	SAFETY FUND A/C. (RECEIPT OF PENALTY,FINE)	other	Liability	371
38	Indirect Expenses 	view	Expense	0
381	INTEREST ON  OTHERS	view	Expense	38
382	GOODWILL WRITTEN OFF	view	Expense	38
39	New Ledger Acct.	view	Expense	0
391	Short-term Loans and Advances	view	Expense	39
3911	Others (Specify)	view	Expense	391
0000810042	SALES RETURN	other	Expense	3911
0000440315	Scrap-Disposal a/c	other	Expense	3911
0000440316	Effluent Disposal a/c	other	Expense	3911
0000450028	LOSS ON SALE OF FIXED ASSETS	other	Expense	3911
0000299997	Opening Balance Upload of Stocks	other	Expense	3911
0000299999	Stock upload account	other	Expense	3911
0000404011	Scrap-Consumption AC	other	Expense	3911
0000130001	PRE-OPERATION COSTS	other	Expense	3911
0000130002	DEFERRED IT DEVELOPMENT COSTS	other	Expense	3911
0000132401	DEFERRED INCOME TAXES	other	Expense	3911
0000212001	RECon-V.V.Mineral	other	Expense	3911
0000215215	General Clearing account	other	Expense	3911
0000119732	DON'T USE	other	Expense	3911
0000119950	Clearing account asset acqusitions	other	Expense	3911
0000119999	Zero balance Clearing account	other	Expense	3911
0000119503	GRIR  Clearing Account-Spares	other	Expense	3911
